title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Клапан гидрораспределителя Hitachi ZX240-3,hitachi,ZX240H,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,240,hitachi,ZX240H,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Фильтра Doosan DX300LCA,doosan,DX300LC-A,,,,запчасти двигателя,фильтра,!,,,,,300,doosan,DX300LC-3,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Форсунка Doosan Solar 255,doosan,SOLAR 255LC-V,,,,запчасти двигателя,форсунка,,,,,,255,doosan,SOLAR 255LC-V,Двигатели и комплектующие,Система впуска,,2024-02-03
Ремкомплект гидроцилиндра ковша Hitachi ZX240-3,hitachi,ZX240H,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,запчасти,комплект уплотнений,,240,hitachi,ZX240H,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Стартер Volvo EC210BF,volvo,EC210,,,,запчасти двигателя,стартер,,,,,,210,volvo,EC210,Двигатели и комплектующие,Стартеры и генераторы,,2024-02-03
Ремкомплект центрального коллектора Hitachi ZX240,hitachi,ZX240H,,,,гидравлический компонент,центральный коллектор,коллектор,,запчасти,комплект уплотнений,,240,hitachi,ZX240H,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Фильтра Hitachi ZX240-3,hitachi,ZX240H,,,,запчасти двигателя,фильтра,!,,,,,240,hitachi,ZX240H,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Фильтр топливный Hitachi ZX240-3,hitachi,ZX240H,,,,запчасти двигателя,фильтра,,,целиком,фильтр топливный,,240,hitachi,ZX240H,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Защита катка Volvo EC210BF,volvo,EC210,,,,ходовая часть,направляющая,,,,,,210,volvo,EC210,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Термостат Volvo EC210BF,volvo,EC210,,,,запчасти двигателя,термостат,,,,,,210,volvo,EC210,Двигатели и комплектующие,Система кондиционирования и отопления,,2024-02-03
Фильтр воздушный Doosan DX300LCA,doosan,DX300LC-A,,,,запчасти двигателя,фильтра,,,целиком,фильтр воздушный,,300,doosan,DX300LC-3,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Помпа водяная Hitachi ZX240-3,hitachi,ZX240H,,,,запчасти двигателя,насос водяной,,,,,,240,hitachi,ZX240H,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Форсунка Volvo EC210/EC220/EC240/EC250/EC290/EC300,volvo,EC210,,,,запчасти двигателя,форсунка,,,,,,210,volvo,EC210,Двигатели и комплектующие,Система впуска,,2024-02-03
Редуктор поворота Hitachi ZX240-3,hitachi,ZX240H,,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,,240,hitachi,ZX240H,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Фильтр топливный Doosan DX300LCA,doosan,DX300LC-A,,,,запчасти двигателя,фильтра,,,целиком,фильтр топливный,,300,doosan,DX300LC-3,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Джойстик управления Doosan DX300LCA,doosan,DX300LC-A,,,,гидравлический компонент,джойстик,,,целиком,,,300,doosan,DX300LC-3,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Фильтр масляный Volvo EC210BF,volvo,EC210,,,,запчасти двигателя,фильтра,,,целиком,фильтр масляный,,210,volvo,EC210,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Звено цепи Doosan DX300LCA,doosan,DX300LC-A,,,,ходовая часть,звено,,,,,,300,doosan,DX300LC-3,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Вал редуктора хода Volvo EC210BF,volvo,EC210,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,210,volvo,EC210,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Трапеция ковша Hitachi ZX240-3,hitachi,ZX240H,,,,рабочее оборудование,трапеция,,,,,,240,hitachi,ZX240H,Для навесного оборудования,,,2024-02-03
