title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
T389818 вал редуктора хода John Deere E260,john deere,,t389818,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,t389818,,hyundai,R 520LC-9S LR,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал редуктора хода sdlg E6215HLC,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,xcmg,XE550D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал редуктора хода sdlg E6210F,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Запчасти редуктора хода sdlg E6215HLC,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал-шестерня редуктора хода sdlg E6650FEH,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,xcmg,XE270D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал-шестерня редуктора хода sdlg E6450F,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,xcmg,XE400WM,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
AT481045 комплект уплотнений редуктора John Deere E330,john deere,,at481045,,,гидравлический компонент,редуктор,!,,запчасти,сальник,at481045,,hyundai,ROBEX 35-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Крыльчатка вентилятора Doosan Solar S340LC-V,doosan,DX340LC-3,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,340,doosan,DX340LC-3,Двигатели и комплектующие,Система впуска,,2024-02-03
AT475439 вал ведущий John Deere E260,john deere,,at475439,,,!,вал,,,,,at475439,,hyundai,R 210LC-7 LR,Двигатели и комплектующие,"Поршни, шатуны, кольца, вкладыши'",,2024-02-03
Сальник редуктора хода sdlg E6210FLC,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,сальник,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Крыльчатка вентилятора Doosan Solar S420LC-V,doosan,SOLAR 420LC-V,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,420,doosan,Daewoo SOLAR 420LC-V,Двигатели и комплектующие,Система впуска,,2024-02-03
Насос пилотный lgce E6400FLN,lgce,E6400F,,,,гидравлический компонент,пилотный насос,,,,,,6400,case,CX300C,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Вал гидромотора хода sdlg E6215HLC,sdlg,,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,,xcmg,XE220EN,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Доукон редуктора хода Zoomlion ZE215E,zoomlion,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,плавающее уплотнение,,,doosan,Daewoo SOLAR 018-VT,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал гидромотора хода sdlg E6210FLC,sdlg,E6210FLC,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
AT478078 первая ступень редуктора John Deere E330,john deere,,at478078,,,гидравлический компонент,редуктор,!,,запчасти,шестерня,at478078,,hyundai,ROBEX 1300WM,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремкомплект гидромотора John Deere E260LC,john deere,,,,,гидравлический компонент,гидромотор,!,,запчасти,комплект уплотнений,,,hyundai,ROBEX 360 LC,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Вал редуктора хода sdlg E6210FLC,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал приводной редуктора хода sdlg E6150F,sdlg,E6150F,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6150,xcmg,XE150D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Комплект поршней гидромотора Zoomlion ZE210E,zoomlion,ZE210,,,,гидравлический компонент,гидромотор,!,,запчасти,набор поршней,,210,doosan,DX210W,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Вал-шестерня редуктора хода sdlg E6150F,sdlg,E6150F,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6150,xcmg,XE150D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Крыльчатка вентилятора Doosan DX360LCA-7M,doosan,DX360LCA,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,360,doosan,DX360LCA-7M,Двигатели и комплектующие,Система впуска,,2024-02-03
Вал редуктора хода sdlg E6780H,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,xcmg,XE370CA,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
T396912 вал ведущий гидромотора John Deere E330,john deere,,t396912,,,гидравлический компонент,гидромотор,!,,запчасти,вал,t396912,,hyundai,R 180NLC-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Запчасти редуктора хода sdlg E6250F,sdlg,E6250F,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,6250,xcmg,XE250D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал-шестерня редуктора хода sdlg E6210FLC,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал приводной редуктора хода lgce E6215HLC,lgce,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,case,CX460,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Комплект поршней гидромотора Zoomlion ZE215E,zoomlion,,,,,гидравлический компонент,гидромотор,!,,запчасти,набор поршней,,,doosan,Daewoo SOLAR 130V,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Запчасти редуктора хода sdlg E6300F,sdlg,E6300F,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,6300,xcmg,XE300UF,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал редуктора хода sdlg E6210FLC,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Сальник редуктора хода Zoomlion ZE215E,zoomlion,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,сальник,,,doosan,DX 55W,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал приводной редуктора John Deere E240LC,john deere,240D LC,,,,гидравлический компонент,редуктор,!,,запчасти,вал,,240,hyundai,ROBEX 240LC-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал ведущий гидромотора хода sdlg E6210FLC,sdlg,E6210FLC,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Вал ведущий редуктора John Deere E240LC,john deere,240D LC,,,,гидравлический компонент,редуктор,!,,запчасти,вал,,240,hyundai,ROBEX 240LC-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремкомплект редуктора John Deere E210LC,john deere,210G,,,,гидравлический компонент,редуктор,!,,запчасти,кольцо,,210,hyundai,R 210-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
T396912 вал ведущий гидромотора John Deere E300,john deere,,t396912,,,гидравлический компонент,гидромотор,!,,запчасти,вал,t396912,,hyundai,ROBEX 360 LC-7A,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Крыльчатка вентилятора Doosan DX300LCA,doosan,DX300LC-A,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,300,doosan,DX300LC-3,Двигатели и комплектующие,Система впуска,,2024-02-03
Вал редуктора хода sdlg E6210DF,sdlg,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6210,xcmg,XE215CLL,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал-шестерня редуктора хода sdlg E6350H,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,xcmg,XE550DK,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Сальник редуктора хода lgce E6210FLC,lgce,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,сальник,,6210,case,CX210 LC,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Крыльчатка вентилятора Doosan DX255LC,doosan,DX255LC-3,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,255,doosan,DX255LC SLR,Двигатели и комплектующие,Система впуска,,2024-02-03
Насос пилотный sdlg E6210DF,sdlg,E6210FLC,,,,гидравлический компонент,пилотный насос,,,,,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Вал редуктора хода sdlg E6150F,sdlg,E6150F,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6150,xcmg,XE150D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал приводной редуктора хода lgce E6210FLC,lgce,E6210FLC,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6210,case,CX210 LC,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал-шестерня редуктора хода sdlg E6505H,sdlg,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,xcmg,XE550DK,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Крыльчатка вентилятора Doosan DX420LCA,doosan,DX420LC,,,,система двигателя,система подачи воздуха,вентилятор,,запчасти,крыльчатка,,420,doosan,Daewoo DX420LCV,Двигатели и комплектующие,Система впуска,,2024-02-03
Ремкомплект редуктора John Deere E260LC,john deere,,,,,гидравлический компонент,редуктор,!,,запчасти,кольцо,,,hyundai,R 450LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал приводной редуктора Zoomlion ZE215E,zoomlion,,,,,гидравлический компонент,редуктор,!,,запчасти,вал,,,doosan,Daewoo DH130,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Насос пилотный sdlg E6450F,sdlg,,,,,гидравлический компонент,пилотный насос,,,,,,,xcmg,XE210D,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Вал редуктора хода sdlg E6250F,sdlg,E6250F,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,6250,xcmg,XE250D,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
T396912 вал гидромотора хода John Deere E300,john deere,,t396912,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,t396912,,hyundai,R200W-7,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Вал гидромотора хода lgce E6210FLC,lgce,E6210FLC,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,6210,case,CX210 LC,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Каток опорный sany SY230C,sany,,,,,ходовая часть,каток опорный,,,,,,,case,CX31B ZTS,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Каток опорный sany SY235C,sany,SY235,,,,ходовая часть,каток опорный,,,,,,235,case,CX225,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Каток поддерживающий sdlg E6255,sdlg,E6255F,,,,ходовая часть,каток поддерживающий,,,,,,6255,xcmg,XE245F,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Каток опорный sany SY480LC-9H,sany,,,,,ходовая часть,каток опорный,,,,,,,case,CX30B,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Каток опорный Liugong CLG923/CLG925/CLG922/CLG936,liugong,CLG923C,liugong,,,ходовая часть,каток опорный,,,,,,923,liugong,CLG923C,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Каток опорный sany SY225cnlc,sany,,,,,ходовая часть,каток опорный,,,,,,,case,CX225,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Кулак поворотный Hitachi ZX170W / ZX180W /ZX190W,hitachi,,,,,трансмиссия,кулак,,,,,,,hitachi,ZAXIS 25,Трансмиссия,Подшипники и крестовины,,2024-02-03
Кулак поворотный CAT M312/CAT M315/CAT M318,cat,318,,,,трансмиссия,кулак,,,,,,318,cat,318,Трансмиссия,Подшипники и крестовины,,2024-02-03
Каток опорный sany SY310,sany,,,,,ходовая часть,каток опорный,,,,,,,case,CX22,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Насос рулевого управления JCB145W,jcb,,,,,гидравлический компонент,насос рулевого управления,,,,,,,jcb,JS 115,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Кулак поворотный Solar 180W / Solar 210W,doosan,SOLAR 180W-V,,,,трансмиссия,кулак,,,,,,180,doosan,Daewoo SOLAR 180W-V,Трансмиссия,Подшипники и крестовины,,2024-02-03
Клапан гидрораспределителя Komatsu PC220-8MO,komatsu,PC220-8,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,220,komatsu,PC220-8,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Клапан гидрораспределителя Komatsu PC200LC-8MO,komatsu,PC200,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,200,komatsu,PC200,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Бортовой редуктор Liugong 933E,liugong,933E,liugong,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,933,liugong,933E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Клапан гидрораспределителя Komatsu PC300LC-7,komatsu,PC300,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,300,komatsu,PC300,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Клапан гидрораспределителя Komatsu PC240LC-6K,komatsu,PC240,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,240,komatsu,PC240,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Гидромотор поворота sany SY225NLC,sany,,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,,case,CX380C,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Патрубок радиатора Hyundai R180LC-7,hyundai,R180LC-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,180,hyundai,R 180LC-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Наконечник рулевой тяги Hyundai R70W/R180W/R210W,hyundai,R180,,,,рабочее оборудование,ковшевой узел,коронка,,,,,180,hyundai,R180W-9S,Для навесного оборудования,,,2024-02-03
Клапан гидрораспределителя Komatsu PC220LC-8,komatsu,PC220-7,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,220,komatsu,PC220-7,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Вал редуктора хода Liugong 933E,liugong,933E,liugong,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,933,liugong,933E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Патрубок радиатора Hyundai R160LC-9S,hyundai,R160LC-9S,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,160,hyundai,R 160LC-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Редуктор хода Liugong 922/923/925,liugong,,liugong,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,,liugong,936E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Патрубок радиатора Hyundai HX300SL,hyundai,R300,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,300,hyundai,R 300LC-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Вал редуктора хода Liugong 922LC,liugong,922E,liugong,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,922,liugong,922E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Патрубок радиатора Hyundai R140W-7,hyundai,R140W-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,140,hyundai,R140W-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Сальник редуктора хода Liugong 920E,liugong,920E,liugong,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,сальник,,920,liugong,920E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Патрубок радиатора Hyundai R200W-7,hyundai,R200W-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,200,hyundai,R200W-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Патрубок радиатора Hyundai R300LC-9S,hyundai,R300LC-9S,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,300,hyundai,R 300LC-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Вал редуктора хода Liugong 923FN,liugong,923FN,liugong,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,923,liugong,923FN,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Патрубок радиатора Hyundai R1400W-7,hyundai,,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,,hyundai,R35Z9,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Клапан гидрораспределителя Komatsu PC200LC-8,komatsu,PC200,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,200,komatsu,PC200,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Патрубок радиатора Hyundai R140LC-7,hyundai,R140W-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,140,hyundai,R140W-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Клапан гидрораспределителя Komatsu PC300-8MO,komatsu,PC300-8,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,300,komatsu,PC300--8,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Клапан гидрораспределителя Komatsu PC210-10,komatsu,PC210,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,210,komatsu,PC210,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Патрубок радиатора Hyundai R140W-9S,hyundai,R140W-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,140,hyundai,R140W-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Патрубок радиатора Hyundai R210NLC-9S,hyundai,R210W-9S,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,210,hyundai,R210W-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Клапан гидрораспределителя Komatsu PC220-8,komatsu,PC220-8,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,220,komatsu,PC220-8,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Патрубок радиатора Hyundai R480LC-9S,hyundai,R480LC-9S,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,480,hyundai,R 480LC-9S,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Клапан гидрораспределителя Komatsu PC200EN-6K,komatsu,PC200,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,200,komatsu,PC200,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Патрубок радиатора Hyundai R250LC-7,hyundai,R250LC-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,250,hyundai,R 250LC-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Патрубок радиатора Hyundai R210LC-7,hyundai,R210LC-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,210,hyundai,R 210LC-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Тяга рулевая Doosan Solar 140W/180W/210W,doosan,SOLAR 140LC-V,,,,трансмиссия,тяга,,,,,,140,doosan,Daewoo SOLAR 140LC-V,Трансмиссия,Подшипники и крестовины,,2024-02-03
Редуктор хода Liugong 925E,liugong,925E,liugong,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,925,liugong,925E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидромотор поворота sany SY225cnlc,sany,,,,,гидравлический компонент,гидромотор,гидромотор поворота,,целиком,,,,case,CX36B,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Клапан гидрораспределителя Komatsu PC210NLC-7,komatsu,PC210,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,210,komatsu,PC210,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Вал редуктора хода Liugong 920E,liugong,920E,liugong,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,920,liugong,920E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Клапан гидрораспределителя Komatsu PC200LC-7,komatsu,PC200,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,200,komatsu,PC200,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Редуктор хода Liugong 920E,liugong,920E,liugong,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,920,liugong,920E,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Патрубок радиатора Hyundai R450LC-7,hyundai,R450LC-7,,,,система двигателя,радиатор,,,запчасти,крышка радиатора,,450,hyundai,R 450LC-7,Двигатели и комплектующие,Система охлаждения ДВС,,2024-02-03
Клапан гидрораспределителя Komatsu PC210LC-8,komatsu,PC210,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,210,komatsu,PC210,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Гидроцилиндр рукояти Hyundai R330/R320,hyundai,R330,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,330,hyundai,R 330LC-9S,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр ковша Hyundai R250/R320/R260/R330,hyundai,R250,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,250,hyundai,R 250LC-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал редуктора хода John Deere E240/E210/E230,john deere,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,hyundai,ROBEX 55-7A,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидроцилиндр ковша Volvo EC290/EC460,volvo,EC290,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,290,volvo,EC290,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр рукояти xcmg XE210,xcmg,XE210D,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,210,xcmg,XE210D,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр ковша Volvo EC460/EC210/EC240,volvo,EC460,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,460,volvo,EC460,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр ковша xcmg XE225F,xcmg,,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,,xcmg,XE155ECR,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Поворотный круг Hyundai R250/R260/R330/R320,hyundai,R250,,,,комплектующие рамы,круг,,,целиком,,,250,hyundai,R 250LC-3,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Гидроцилиндр ковша Hyundai R330/R250/R260/R320,hyundai,R330,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,330,hyundai,R 330LC-9S,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Запчасти двигателя Volvo EC210/EC240/EC290/EC360,volvo,EC210,,,,запчасти двигателя,!,,,,,,210,volvo,EC210,Двигатели и комплектующие,Двигатели в сборе,,2024-02-03
Гидроцилиндр ковша xcmg XE230C,xcmg,XE230C,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,230,xcmg,XE230C,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал гидромотора хода John Deere E230/E210/E240,john deere,,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,,hyundai,R800LC9 FS,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидроцилиндр ковша xcmg XE150D,xcmg,XE150D,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,150,xcmg,XE150D,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал гидромотора хода John Deere E240/E260/E210,john deere,,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,,hyundai,ROBEX 160 LC-7A,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидроцилиндр ковша Hyundai R260/R320/R330/R250,hyundai,R260LC-9S,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,260,hyundai,R 260LC-9S,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Поворотный круг Hyundai R260/R320,hyundai,R260LC-9S,,,,комплектующие рамы,круг,,,целиком,,,260,hyundai,R 260LC-9S,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Гидроцилиндр ковша xcmg XE235C,xcmg,,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,,xcmg,XE335D,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Гидроцилиндр ковша xcmg XE305E,xcmg,,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,,xcmg,XE335C,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал гидромотора хода John Deere E240/E260/E230/E210,john deere,,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,,hyundai,ROBEX 130W,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Гидроцилиндр ковша Hyundai R250/R320/R330/R260,hyundai,R250,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,250,hyundai,R 250LC-3,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Поворотный круг Hyundai R260/R250/R320,hyundai,R260LC-9S,,,,комплектующие рамы,круг,,,целиком,,,260,hyundai,R 260LC-9S,"Рамы, кузова и надстройки",Рамы и лонжероны,,2024-02-03
Вал гидромотора хода John Deere E260/E210/E240,john deere,,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,вал,,,hyundai,HB90,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
